source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00000-13-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,25,array,304,,608,25,0
00000-13-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,26,array,336,,672,26,0
00000-13-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,27,run,332,165,662,27,0
00000-13-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,28,array,304,,608,28,0
00000-13-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,29,array,330,,660,29,0
00000-13-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,30,array,178,,356,30,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,0,array,292,,584,0,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,1,run,330,164,658,1,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,2,run,354,176,706,2,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,3,array,356,,712,3,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,4,run,318,158,634,4,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,5,run,314,156,626,5,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,6,run,334,164,658,6,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,7,run,316,157,630,7,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,8,run,344,171,686,8,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,9,run,322,160,642,9,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,10,run,358,177,710,10,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,11,array,338,,676,11,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,12,run,332,165,662,12,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,13,run,332,165,662,13,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,14,run,320,158,634,14,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,15,array,328,,656,15,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,16,run,300,149,598,16,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,17,run,304,150,602,17,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,18,run,342,170,682,18,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,19,run,322,160,642,19,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,20,run,330,163,654,20,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,21,array,330,,660,21,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,22,array,336,,672,22,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,23,run,294,146,586,23,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,24,array,326,,652,24,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,25,array,304,,608,25,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,26,array,336,,672,26,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,27,run,332,165,662,27,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,28,array,304,,608,28,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,29,array,330,,660,29,0
00060-14-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,30,array,178,,356,30,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,0,array,292,,584,0,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,1,run,330,164,658,1,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,2,run,354,176,706,2,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,3,array,356,,712,3,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,4,run,318,158,634,4,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,5,run,314,156,626,5,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,6,run,334,164,658,6,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,7,run,316,157,630,7,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,8,run,344,171,686,8,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,9,run,322,160,642,9,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,10,run,358,177,710,10,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,11,array,338,,676,11,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,12,run,332,165,662,12,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,13,run,332,165,662,13,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,14,run,320,158,634,14,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,15,array,328,,656,15,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,16,run,300,149,598,16,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,17,run,304,150,602,17,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,18,run,342,170,682,18,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,19,run,322,160,642,19,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,20,run,330,163,654,20,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,21,array,330,,660,21,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,22,array,336,,672,22,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,23,run,294,146,586,23,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,24,array,326,,652,24,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,25,array,304,,608,25,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,26,array,336,,672,26,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,27,run,332,165,662,27,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,28,array,304,,608,28,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,29,array,330,,660,29,0
00090-15-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,30,array,178,,356,30,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,0,array,292,,584,0,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,1,run,330,164,658,1,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,2,run,354,176,706,2,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,3,array,356,,712,3,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,4,run,318,158,634,4,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,5,run,314,156,626,5,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,6,run,334,164,658,6,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,7,run,316,157,630,7,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,8,run,344,171,686,8,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,9,run,322,160,642,9,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,10,run,358,177,710,10,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,11,array,338,,676,11,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,12,run,332,165,662,12,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,13,run,332,165,662,13,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,14,run,320,158,634,14,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,15,array,328,,656,15,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,16,run,300,149,598,16,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,17,run,304,150,602,17,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,18,run,342,170,682,18,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,19,run,322,160,642,19,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,20,run,330,163,654,20,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,21,array,330,,660,21,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,22,array,336,,672,22,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,23,run,294,146,586,23,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,24,array,326,,652,24,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,25,array,304,,608,25,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,26,array,336,,672,26,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,27,run,332,165,662,27,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,28,array,304,,608,28,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,29,array,330,,660,29,0
00113-16-03e9b0b5-4619-420f-9503-7ce3b05a0eee-00001-deletes.puffin,0,30,array,178,,356,30,0
