source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,17,run,64,1,6,17,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,18,run,256,4,18,18,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,19,run,384,6,26,19,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,20,run,192,3,14,20,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,21,run,128,2,10,21,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,22,run,384,6,26,22,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,23,run,512,8,34,23,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,24,run,320,5,22,24,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,25,run,384,6,26,25,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,26,run,192,3,14,26,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,27,run,320,5,22,27,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,28,run,448,7,30,28,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,29,run,832,13,54,29,0
00066-14-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,30,run,128,2,10,30,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,0,run,384,6,26,0,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,1,run,320,5,22,1,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,2,run,256,4,18,2,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,3,run,320,5,22,3,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,4,run,192,3,14,4,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,5,run,320,5,22,5,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,6,run,384,6,26,6,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,7,run,192,3,14,7,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,8,run,192,3,14,8,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,9,run,256,4,18,9,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,10,run,128,2,10,10,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,11,run,320,5,22,11,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,13,run,384,6,26,13,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,14,run,256,4,18,14,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,15,run,320,5,22,15,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,16,run,192,3,14,16,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,17,run,64,1,6,17,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,18,run,256,4,18,18,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,19,run,384,6,26,19,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,20,run,192,3,14,20,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,21,run,128,2,10,21,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,22,run,384,6,26,22,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,23,run,512,8,34,23,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,24,run,320,5,22,24,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,25,run,384,6,26,25,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,26,run,192,3,14,26,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,27,run,320,5,22,27,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,28,run,448,7,30,28,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,29,run,832,13,54,29,0
00128-15-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,30,run,128,2,10,30,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,0,run,384,6,26,0,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,1,run,320,5,22,1,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,2,run,256,4,18,2,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,3,run,320,5,22,3,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,4,run,192,3,14,4,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,5,run,320,5,22,5,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,6,run,384,6,26,6,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,7,run,192,3,14,7,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,8,run,192,3,14,8,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,9,run,256,4,18,9,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,10,run,128,2,10,10,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,11,run,320,5,22,11,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,13,run,384,6,26,13,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,14,run,256,4,18,14,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,15,run,320,5,22,15,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,16,run,192,3,14,16,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,17,run,64,1,6,17,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,18,run,256,4,18,18,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,19,run,384,6,26,19,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,20,run,192,3,14,20,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,21,run,128,2,10,21,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,22,run,384,6,26,22,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,23,run,512,8,34,23,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,24,run,320,5,22,24,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,25,run,384,6,26,25,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,26,run,192,3,14,26,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,27,run,320,5,22,27,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,28,run,448,7,30,28,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,29,run,832,13,54,29,0
00180-16-72c70aa6-796a-45f2-ba93-a318fc6e7422-00001-deletes.puffin,0,30,run,128,2,10,30,0
